iter	Passed	Remaining
1049	62694	26869
1050	62745	26805
1051	62802	26744
1052	62859	26684
1053	62917	26623
1054	62984	26566
1055	63037	26504
1056	63093	26443
1057	63154	26383
1058	63218	26325
1059	63267	26261
1060	63333	26204
1061	63384	26141
1062	63442	26081
1063	63512	26025
1064	63572	25966
1065	63630	25905
1066	63686	25844
1067	63736	25781
1068	63795	25720
1069	63855	25661
1070	63907	25598
1071	63965	25538
1072	64027	25479
1073	64089	25420
1074	64143	25359
1075	64205	25300
1076	64262	25239
1077	64317	25177
1078	64375	25117
1079	64432	25056
1080	64487	24995
1081	64544	24934
1082	64601	24874
1083	64657	24813
1084	64712	24751
1085	64769	24691
1086	64822	24628
1087	64878	24567
1088	64935	24507
1089	64996	24448
1090	65059	24390
1091	65115	24328
1092	65178	24270
1093	65233	24209
1094	65293	24149
1095	65354	24090
1096	65425	24035
1097	65504	23982
1098	65569	23924
1099	65660	23876
1100	65721	23817
1101	65771	23754
1102	65825	23692
1103	65879	23630
1104	65943	23572
1105	66000	23511
1106	66061	23452
1107	66117	23391
1108	66177	23332
1109	66243	23274
1110	66300	23214
1111	66366	23156
1112	66415	23093
1113	66481	23035
1114	66539	22975
1115	66599	22915
1116	66653	22854
1117	66707	22792
1118	66763	22731
1119	66824	22672
1120	66885	22613
1121	66944	22553
1122	67008	22495
1123	67073	22437
1124	67128	22376
1125	67187	22316
1126	67242	22255
1127	67297	22193
1128	67358	22134
1129	67419	22075
1130	67476	22014
1131	67537	21955
1132	67594	21895
1133	67652	21834
1134	67714	21776
1135	67769	21714
1136	67834	21656
1137	67888	21595
1138	67954	21537
1139	68010	21477
1140	68066	21416
1141	68122	21355
1142	68181	21295
1143	68245	21237
1144	68299	21175
1145	68350	21113
1146	68413	21054
1147	68474	20995
1148	68527	20934
1149	68586	20874
1150	68647	20814
1151	68713	20757
1152	68771	20696
1153	68822	20634
1154	68878	20574
1155	68930	20512
1156	68991	20452
1157	69050	20393
1158	69105	20332
1159	69181	20277
1160	69253	20221
1161	69316	20162
1162	69372	20102
1163	69426	20040
1164	69488	19981
1165	69546	19921
1166	69599	19860
1167	69661	19801
1168	69727	19743
1169	69785	19682
1170	69842	19622
1171	69894	19560
1172	69957	19502
1173	70018	19442
1174	70080	19383
1175	70140	19324
1176	70199	19264
1177	70259	19205
1178	70322	19146
1179	70382	19086
1180	70439	19026
1181	70507	18968
1182	70567	18909
1183	70622	18848
1184	70683	18789
1185	70730	18726
1186	70787	18665
1187	70843	18605
1188	70904	18546
1189	70964	18486
1190	71029	18428
1191	71083	18367
1192	71141	18307
1193	71193	18245
1194	71260	18187
1195	71314	18126
1196	71367	18065
1197	71425	18005
1198	71484	17945
1199	71543	17885
1200	71599	17825
1201	71673	17769
1202	71741	17711
1203	71806	17653
1204	71862	17592
1205	71920	17532
1206	71978	17472
1207	72037	17413
1208	72108	17356
1209	72173	17297
1210	72240	17239
1211	72301	17180
1212	72359	17120
1213	72422	17061
1214	72469	16999
1215	72532	16940
1216	72598	16882
1217	72686	16828
1218	72759	16772
1219	72814	16711
1220	72879	16652
1221	72939	16593
1222	73003	16534
1223	73058	16473
1224	73133	16417
1225	73205	16360
1226	73262	16300
1227	73328	16242
1228	73388	16182
1229	73445	16122
1230	73499	16061
1231	73556	16000
1232	73612	15940
1233	73670	15880
1234	73723	15819
1235	73779	15758
1236	73840	15699
1237	73897	15639
1238	73962	15580
1239	74023	15521
1240	74084	15461
1241	74140	15401
1242	74211	15343
1243	74275	15284
1244	74326	15223
1245	74373	15161
1246	74431	15101
1247	74488	15041
1248	74542	14980
1249	74604	14920
1250	74670	14862
1251	74721	14801
1252	74782	14741
1253	74846	14682
1254	74903	14622
1255	74957	14561
1256	75014	14501
1257	75071	14441
1258	75128	14381
1259	75187	14321
1260	75242	14260
1261	75301	14201
1262	75363	14141
1263	75425	14082
1264	75488	14023
1265	75549	13964
1266	75609	13904
1267	75666	13844
1268	75730	13785
1269	75806	13728
1270	75879	13671
1271	75936	13611
1272	76002	13552
1273	76065	13493
1274	76141	13436
1275	76217	13379
1276	76271	13319
1277	76340	13260
1278	76444	13208
1279	76511	13150
1280	76580	13092
1281	76657	13035
1282	76737	12978
1283	76789	12917
1284	76852	12858
1285	76911	12798
1286	76965	12737
1287	77022	12677
1288	77074	12616
1289	77137	12557
1290	77196	12497
1291	77258	12437
1292	77317	12378
1293	77368	12316
1294	77428	12257
1295	77479	12195
1296	77538	12135
1297	77604	12077
1298	77667	12017
1299	77727	11958
1300	77779	11897
1301	77834	11836
1302	77894	11776
1303	77946	11715
1304	77992	11654
1305	78055	11594
1306	78117	11535
1307	78175	11475
1308	78229	11414
1309	78290	11355
1310	78348	11295
1311	78409	11235
1312	78467	11175
1313	78535	11116
1314	78601	11058
1315	78661	10998
1316	78715	10937
1317	78775	10877
1318	78830	10817
1319	78888	10757
1320	78941	10696
1321	79004	10637
1322	79065	10577
1323	79124	10518
1324	79203	10460
1325	79257	10400
1326	79315	10340
1327	79367	10279
1328	79423	10219
1329	79489	10160
1330	79552	10100
1331	79610	10040
1332	79669	9981
1333	79731	9921
1334	79782	9860
1335	79842	9800
1336	79897	9740
1337	79962	9681
1338	80026	9622
1339	80083	9562
1340	80142	9502
1341	80203	9442
1342	80268	9383
1343	80329	9323
1344	80387	9263
1345	80445	9204
1346	80506	9144
1347	80555	9083
1348	80611	9023
1349	80672	8963
1350	80732	8903
1351	80784	8843
1352	80846	8783
1353	80901	8723
1354	80962	8663
1355	81026	8604
1356	81077	8543
1357	81136	8484
1358	81208	8425
1359	81274	8366
1360	81329	8306
1361	81389	8246
1362	81450	8186
1363	81512	8127
1364	81567	8067
1365	81622	8006
1366	81680	7946
1367	81738	7887
1368	81802	7827
1369	81857	7767
1370	81914	7707
1371	81968	7647
1372	82029	7587
1373	82081	7527
1374	82135	7466
1375	82195	7407
1376	82258	7347
1377	82315	7287
1378	82368	7227
1379	82428	7167
1380	82486	7107
1381	82547	7048
1382	82603	6988
1383	82660	6928
1384	82722	6868
1385	82782	6808
1386	82848	6749
1387	82904	6689
1388	82959	6629
1389	83018	6569
1390	83075	6509
1391	83128	6449
1392	83189	6390
1393	83247	6330
1394	83306	6270
1395	83365	6210
1396	83437	6151
1397	83497	6092
1398	83557	6032
1399	83615	5972
1400	83677	5912
1401	83754	5854
1402	83822	5795
1403	83879	5735
1404	83932	5675
1405	83987	5615
1406	84048	5555
1407	84104	5495
1408	84168	5435
1409	84233	5376
1410	84296	5317
1411	84360	5257
1412	84424	5198
1413	84485	5138
1414	84552	5079
1415	84616	5019
1416	84670	4959
1417	84755	4901
1418	84827	4842
1419	84880	4782
1420	84941	4722
1421	85014	4663
1422	85077	4603
1423	85141	4544
1424	85199	4484
1425	85258	4424
1426	85316	4364
1427	85377	4304
1428	85432	4244
1429	85491	4184
1430	85557	4125
1431	85613	4065
1432	85670	4005
1433	85729	3945
1434	85793	3886
1435	85855	3826
1436	85910	3766
1437	85960	3706
1438	86021	3646
1439	86073	3586
1440	86129	3526
1441	86189	3466
1442	86239	3406
1443	86293	3346
1444	86350	3286
1445	86420	3227
1446	86482	3167
1447	86541	3107
1448	86601	3048
1449	86656	2988
1450	86717	2928
1451	86773	2868
1452	86827	2808
1453	86882	2748
1454	86943	2688
1455	86997	2629
1456	87055	2569
1457	87107	2509
1458	87182	2449
1459	87240	2390
1460	87296	2330
1461	87355	2270
1462	87412	2210
1463	87473	2150
1464	87529	2091
1465	87586	2031
1466	87646	1971
1467	87698	1911
1468	87762	1852
1469	87818	1792
1470	87882	1732
1471	87937	1672
1472	87998	1613
1473	88055	1553
1474	88120	1493
1475	88182	1433
1476	88240	1374
1477	88296	1314
1478	88375	1254
1479	88457	1195
1480	88527	1135
1481	88605	1076
1482	88661	1016
1483	88715	956
1484	88775	896
1485	88834	836
1486	88889	777
1487	88943	717
1488	89009	657
1489	89072	597
1490	89133	538
1491	89189	478
1492	89247	418
1493	89325	358
1494	89387	298
1495	89449	239
1496	89507	179
1497	89570	119
1498	89631	59
1499	89691	0
